,Year_0,row_id,genAI3[other]_0,genAI3
594,2026,2026_1128,deepseek,Claude
595,2026,2026_1129,,Claude
596,2026,2026_1131,Mistral,Claude
597,2026,2026_1133,Le Chat,Claude
598,2026,2026_1134,,Claude
599,2026,2026_1135,,Claude
600,2026,2026_1140,,Claude
601,2026,2026_1141,,Claude
602,2026,2026_1142,,Claude
603,2026,2026_1148,,Claude
604,2026,2026_1152,,Claude
605,2026,2026_1154,,Claude
606,2026,2026_1156,,Claude
607,2026,2026_1158,,Claude
608,2026,2026_1161,DeepSeek,Claude
609,2026,2026_27,,Cursor
610,2026,2026_34,,Cursor
611,2026,2026_41,,Cursor
612,2026,2026_164,,Cursor
613,2026,2026_211,,Cursor
614,2026,2026_235,,Cursor
615,2026,2026_273,,Cursor
616,2026,2026_294,,Cursor
617,2026,2026_298,,Cursor
618,2026,2026_299,,Cursor
619,2026,2026_355,Perplexity,Cursor
620,2026,2026_372,,Cursor
621,2026,2026_396,,Cursor
622,2026,2026_422,,Cursor
623,2026,2026_441,,Cursor
624,2026,2026_516,"Antigravity, Codex",Cursor
625,2026,2026_534,,Cursor
626,2026,2026_645,,Cursor
627,2026,2026_649,,Cursor
628,2026,2026_671,Duck AI,Cursor
629,2026,2026_683,,Cursor
630,2026,2026_685,,Cursor
631,2026,2026_691,,Cursor
632,2026,2026_697,,Cursor
633,2026,2026_721,,Cursor
634,2026,2026_765,,Cursor
635,2026,2026_792,Windsurf,Cursor
636,2026,2026_804,Internally hosted models via vLLM,Cursor
637,2026,2026_811,,Cursor
638,2026,2026_821,,Cursor
639,2026,2026_822,,Cursor
640,2026,2026_854,,Cursor
641,2026,2026_893,firmeninterne Agents,Cursor
642,2026,2026_978,,Cursor
643,2026,2026_1007,,Cursor
644,2026,2026_1015,,Cursor
645,2026,2026_1099,Antigravity,Cursor
646,2026,2026_1131,Mistral,Cursor
647,2026,2026_1135,,Cursor
648,2026,2026_8,,Gemini
649,2026,2026_18,,Gemini
650,2026,2026_29,,Gemini
651,2026,2026_41,,Gemini
652,2026,2026_45,,Gemini
653,2026,2026_51,,Gemini
654,2026,2026_70,,Gemini
655,2026,2026_82,,Gemini
656,2026,2026_97,,Gemini
657,2026,2026_105,,Gemini
658,2026,2026_118,,Gemini
659,2026,2026_124,,Gemini
660,2026,2026_128,,Gemini
661,2026,2026_133,,Gemini
662,2026,2026_143,,Gemini
663,2026,2026_151,,Gemini
664,2026,2026_177,,Gemini
665,2026,2026_181,,Gemini
666,2026,2026_188,,Gemini
667,2026,2026_194,,Gemini
668,2026,2026_211,,Gemini
669,2026,2026_212,,Gemini
670,2026,2026_217,,Gemini
671,2026,2026_218,,Gemini
672,2026,2026_236,,Gemini
673,2026,2026_241,,Gemini
674,2026,2026_248,,Gemini
675,2026,2026_272,,Gemini
