,Year_0,row_id,fund3[other]_0,fund3
373,2026,2026_1023,,Institutional support (centrally funded)
374,2026,2026_1027,,Institutional support (centrally funded)
375,2026,2026_1028,,Institutional support (centrally funded)
376,2026,2026_1029,,Institutional support (centrally funded)
377,2026,2026_1031,,Institutional support (centrally funded)
378,2026,2026_1034,,Institutional support (centrally funded)
379,2026,2026_1035,,Institutional support (centrally funded)
380,2026,2026_1040,,Institutional support (centrally funded)
381,2026,2026_1044,,Institutional support (centrally funded)
382,2026,2026_1045,,Institutional support (centrally funded)
383,2026,2026_1046,,Institutional support (centrally funded)
384,2026,2026_1047,,Institutional support (centrally funded)
385,2026,2026_1050,,Institutional support (centrally funded)
386,2026,2026_1051,,Institutional support (centrally funded)
387,2026,2026_1055,,Institutional support (centrally funded)
388,2026,2026_1056,,Institutional support (centrally funded)
389,2026,2026_1058,,Institutional support (centrally funded)
390,2026,2026_1068,,Institutional support (centrally funded)
391,2026,2026_1069,,Institutional support (centrally funded)
392,2026,2026_1070,,Institutional support (centrally funded)
393,2026,2026_1071,,Institutional support (centrally funded)
394,2026,2026_1076,,Institutional support (centrally funded)
395,2026,2026_1077,,Institutional support (centrally funded)
396,2026,2026_1078,,Institutional support (centrally funded)
397,2026,2026_1080,,Institutional support (centrally funded)
398,2026,2026_1081,,Institutional support (centrally funded)
399,2026,2026_1082,,Institutional support (centrally funded)
400,2026,2026_1088,,Institutional support (centrally funded)
401,2026,2026_1091,,Institutional support (centrally funded)
402,2026,2026_1093,,Institutional support (centrally funded)
403,2026,2026_1094,,Institutional support (centrally funded)
404,2026,2026_1099,,Institutional support (centrally funded)
405,2026,2026_1101,,Institutional support (centrally funded)
406,2026,2026_1104,,Institutional support (centrally funded)
407,2026,2026_1106,,Institutional support (centrally funded)
408,2026,2026_1109,,Institutional support (centrally funded)
409,2026,2026_1110,,Institutional support (centrally funded)
410,2026,2026_1112,,Institutional support (centrally funded)
411,2026,2026_1113,,Institutional support (centrally funded)
412,2026,2026_1116,,Institutional support (centrally funded)
413,2026,2026_1118,,Institutional support (centrally funded)
414,2026,2026_1127,,Institutional support (centrally funded)
415,2026,2026_1128,,Institutional support (centrally funded)
416,2026,2026_1129,,Institutional support (centrally funded)
417,2026,2026_1133,,Institutional support (centrally funded)
418,2026,2026_1134,,Institutional support (centrally funded)
419,2026,2026_1135,,Institutional support (centrally funded)
420,2026,2026_1137,,Institutional support (centrally funded)
421,2026,2026_1138,,Institutional support (centrally funded)
422,2026,2026_1141,,Institutional support (centrally funded)
423,2026,2026_1142,,Institutional support (centrally funded)
424,2026,2026_1143,,Institutional support (centrally funded)
425,2026,2026_1144,,Institutional support (centrally funded)
426,2026,2026_1145,,Institutional support (centrally funded)
427,2026,2026_1150,,Institutional support (centrally funded)
428,2026,2026_1151,,Institutional support (centrally funded)
429,2026,2026_1152,,Institutional support (centrally funded)
430,2026,2026_1153,,Institutional support (centrally funded)
431,2026,2026_1154,,Institutional support (centrally funded)
432,2026,2026_1155,,Institutional support (centrally funded)
433,2026,2026_1159,,Institutional support (centrally funded)
434,2026,2026_1162,,Institutional support (centrally funded)
435,2026,2026_5,,Grants
436,2026,2026_8,,Grants
437,2026,2026_9,,Grants
438,2026,2026_10,,Grants
439,2026,2026_11,,Grants
440,2026,2026_12,,Grants
441,2026,2026_13,,Grants
442,2026,2026_15,,Grants
443,2026,2026_17,,Grants
444,2026,2026_18,,Grants
445,2026,2026_23,,Grants
446,2026,2026_24,,Grants
447,2026,2026_30,,Grants
448,2026,2026_39,,Grants
449,2026,2026_44,,Grants
450,2026,2026_45,,Grants
451,2026,2026_46,,Grants
452,2026,2026_47,,Grants
453,2026,2026_48,,Grants
454,2026,2026_49,,Grants
455,2026,2026_51,,Grants
456,2026,2026_56,,Grants
457,2026,2026_61,,Grants
458,2026,2026_65,,Grants
459,2026,2026_69,,Grants
460,2026,2026_70,,Grants
461,2026,2026_72,,Grants
462,2026,2026_73,,Grants
463,2026,2026_82,,Grants
464,2026,2026_83,,Grants
465,2026,2026_84,,Grants
466,2026,2026_85,,Grants
467,2026,2026_90,,Grants
468,2026,2026_93,,Grants
469,2026,2026_97,,Grants
470,2026,2026_101,,Grants
471,2026,2026_102,,Grants
472,2026,2026_106,,Grants
473,2026,2026_107,,Grants
474,2026,2026_108,,Grants
475,2026,2026_109,,Grants
476,2026,2026_110,,Grants
477,2026,2026_118,,Grants
478,2026,2026_119,,Grants
479,2026,2026_120,,Grants
480,2026,2026_121,,Grants
481,2026,2026_122,,Grants
482,2026,2026_125,,Grants
483,2026,2026_135,,Grants
484,2026,2026_136,Some additional work is paid for through self-employment,Grants
485,2026,2026_142,,Grants
486,2026,2026_143,,Grants
487,2026,2026_145,,Grants
488,2026,2026_154,,Grants
489,2026,2026_157,,Grants
490,2026,2026_162,,Grants
491,2026,2026_163,,Grants
492,2026,2026_164,,Grants
493,2026,2026_168,,Grants
494,2026,2026_169,,Grants
495,2026,2026_170,,Grants
496,2026,2026_191,,Grants
497,2026,2026_196,,Grants
498,2026,2026_198,,Grants
499,2026,2026_200,,Grants
500,2026,2026_202,,Grants
501,2026,2026_204,,Grants
502,2026,2026_206,,Grants
503,2026,2026_210,,Grants
504,2026,2026_220,,Grants
505,2026,2026_221,,Grants
506,2026,2026_223,,Grants
507,2026,2026_227,,Grants
508,2026,2026_228,,Grants
509,2026,2026_229,,Grants
510,2026,2026_231,,Grants
511,2026,2026_232,,Grants
512,2026,2026_235,,Grants
513,2026,2026_239,,Grants
514,2026,2026_243,,Grants
515,2026,2026_244,,Grants
516,2026,2026_246,,Grants
517,2026,2026_249,,Grants
518,2026,2026_250,,Grants
519,2026,2026_260,,Grants
520,2026,2026_262,,Grants
521,2026,2026_267,,Grants
522,2026,2026_270,,Grants
523,2026,2026_272,,Grants
524,2026,2026_277,,Grants
525,2026,2026_279,,Grants
526,2026,2026_281,,Grants
527,2026,2026_284,,Grants
528,2026,2026_285,,Grants
529,2026,2026_289,,Grants
530,2026,2026_290,,Grants
531,2026,2026_296,,Grants
532,2026,2026_302,,Grants
533,2026,2026_306,,Grants
534,2026,2026_311,,Grants
535,2026,2026_315,,Grants
536,2026,2026_316,,Grants
537,2026,2026_325,,Grants
538,2026,2026_326,,Grants
539,2026,2026_328,,Grants
540,2026,2026_330,,Grants
541,2026,2026_334,,Grants
542,2026,2026_338,,Grants
543,2026,2026_340,,Grants
544,2026,2026_341,,Grants
545,2026,2026_342,,Grants
546,2026,2026_343,,Grants
547,2026,2026_350,,Grants
548,2026,2026_353,,Grants
549,2026,2026_355,,Grants
550,2026,2026_357,,Grants
551,2026,2026_360,,Grants
552,2026,2026_363,,Grants
553,2026,2026_365,,Grants
554,2026,2026_373,,Grants
555,2026,2026_377,,Grants
556,2026,2026_378,,Grants
557,2026,2026_381,,Grants
558,2026,2026_387,,Grants
559,2026,2026_388,,Grants
560,2026,2026_389,,Grants
561,2026,2026_391,,Grants
562,2026,2026_394,,Grants
563,2026,2026_395,,Grants
564,2026,2026_403,,Grants
565,2026,2026_407,,Grants
566,2026,2026_413,,Grants
567,2026,2026_415,,Grants
568,2026,2026_418,,Grants
569,2026,2026_420,,Grants
570,2026,2026_421,,Grants
571,2026,2026_426,,Grants
572,2026,2026_427,,Grants
573,2026,2026_430,,Grants
574,2026,2026_431,,Grants
575,2026,2026_434,,Grants
576,2026,2026_436,,Grants
577,2026,2026_441,,Grants
578,2026,2026_442,,Grants
579,2026,2026_446,,Grants
580,2026,2026_452,,Grants
581,2026,2026_456,,Grants
582,2026,2026_459,,Grants
583,2026,2026_468,,Grants
584,2026,2026_483,,Grants
585,2026,2026_484,,Grants
586,2026,2026_486,,Grants
587,2026,2026_487,,Grants
588,2026,2026_496,,Grants
589,2026,2026_498,,Grants
590,2026,2026_501,,Grants
591,2026,2026_503,,Grants
592,2026,2026_504,,Grants
593,2026,2026_505,,Grants
594,2026,2026_506,,Grants
595,2026,2026_511,,Grants
596,2026,2026_514,,Grants
597,2026,2026_515,,Grants
598,2026,2026_516,"national funding, supposed to become institutional over the next years",Grants
599,2026,2026_517,,Grants
600,2026,2026_520,,Grants
601,2026,2026_521,,Grants
602,2026,2026_522,,Grants
603,2026,2026_531,,Grants
604,2026,2026_533,,Grants
605,2026,2026_534,,Grants
606,2026,2026_537,,Grants
607,2026,2026_539,,Grants
608,2026,2026_541,,Grants
609,2026,2026_543,,Grants
610,2026,2026_544,,Grants
611,2026,2026_545,,Grants
612,2026,2026_546,,Grants
613,2026,2026_549,,Grants
614,2026,2026_552,,Grants
615,2026,2026_554,,Grants
616,2026,2026_571,,Grants
617,2026,2026_580,,Grants
618,2026,2026_581,,Grants
619,2026,2026_582,,Grants
620,2026,2026_590,,Grants
621,2026,2026_593,,Grants
622,2026,2026_596,,Grants
623,2026,2026_597,,Grants
624,2026,2026_598,,Grants
625,2026,2026_603,,Grants
626,2026,2026_604,,Grants
627,2026,2026_606,,Grants
628,2026,2026_612,,Grants
629,2026,2026_616,,Grants
630,2026,2026_624,,Grants
631,2026,2026_628,,Grants
632,2026,2026_629,,Grants
633,2026,2026_634,,Grants
634,2026,2026_636,,Grants
635,2026,2026_644,,Grants
636,2026,2026_652,,Grants
637,2026,2026_653,,Grants
638,2026,2026_655,,Grants
639,2026,2026_657,,Grants
640,2026,2026_658,,Grants
