,Year_0,row_id,currentEmp13aus
298,2018,2018_7,19 Studies in Creative Arts and Writing
299,2018,2018_55,19 Studies in Creative Arts and Writing
300,2018,2018_972,19 Studies in Creative Arts and Writing
301,2018,2018_7,"20 Language, Communication and Culture"
302,2018,2018_21,"20 Language, Communication and Culture"
303,2018,2018_55,"20 Language, Communication and Culture"
304,2018,2018_79,"20 Language, Communication and Culture"
305,2018,2018_972,"20 Language, Communication and Culture"
306,2018,2018_7,21 History and Archaeology
307,2018,2018_55,21 History and Archaeology
308,2018,2018_972,21 History and Archaeology
309,2018,2018_7,22 Philosophy and Religious Studies
310,2018,2018_55,22 Philosophy and Religious Studies
311,2018,2018_972,22 Philosophy and Religious Studies
