,Year_0,row_id,fund2
222,2018,2018_898,Crowdfunding (one-time)
223,2018,2018_552,Books & merchandise
224,2018,2018_361,Advertising & sponsorships
225,2018,2018_839,Advertising & sponsorships
226,2018,2018_23,Industry support
227,2018,2018_30,Industry support
228,2018,2018_54,Industry support
229,2018,2018_73,Industry support
230,2018,2018_78,Industry support
231,2018,2018_106,Industry support
232,2018,2018_143,Industry support
233,2018,2018_149,Industry support
234,2018,2018_164,Industry support
235,2018,2018_173,Industry support
236,2018,2018_179,Industry support
237,2018,2018_194,Industry support
238,2018,2018_199,Industry support
239,2018,2018_200,Industry support
240,2018,2018_226,Industry support
241,2018,2018_271,Industry support
242,2018,2018_286,Industry support
243,2018,2018_287,Industry support
244,2018,2018_288,Industry support
245,2018,2018_290,Industry support
246,2018,2018_294,Industry support
247,2018,2018_327,Industry support
248,2018,2018_329,Industry support
249,2018,2018_330,Industry support
250,2018,2018_361,Industry support
251,2018,2018_406,Industry support
252,2018,2018_409,Industry support
253,2018,2018_415,Industry support
254,2018,2018_451,Industry support
255,2018,2018_463,Industry support
256,2018,2018_493,Industry support
257,2018,2018_536,Industry support
258,2018,2018_537,Industry support
259,2018,2018_542,Industry support
260,2018,2018_543,Industry support
261,2018,2018_544,Industry support
262,2018,2018_545,Industry support
263,2018,2018_547,Industry support
264,2018,2018_550,Industry support
265,2018,2018_551,Industry support
266,2018,2018_553,Industry support
267,2018,2018_554,Industry support
268,2018,2018_556,Industry support
269,2018,2018_557,Industry support
270,2018,2018_563,Industry support
271,2018,2018_568,Industry support
272,2018,2018_574,Industry support
273,2018,2018_580,Industry support
274,2018,2018_588,Industry support
275,2018,2018_592,Industry support
276,2018,2018_603,Industry support
277,2018,2018_604,Industry support
278,2018,2018_612,Industry support
279,2018,2018_620,Industry support
280,2018,2018_621,Industry support
281,2018,2018_661,Industry support
282,2018,2018_682,Industry support
283,2018,2018_698,Industry support
284,2018,2018_701,Industry support
285,2018,2018_705,Industry support
286,2018,2018_733,Industry support
287,2018,2018_735,Industry support
288,2018,2018_748,Industry support
289,2018,2018_786,Industry support
290,2018,2018_787,Industry support
291,2018,2018_790,Industry support
292,2018,2018_812,Industry support
293,2018,2018_835,Industry support
294,2018,2018_863,Industry support
295,2018,2018_870,Industry support
296,2018,2018_871,Industry support
297,2018,2018_877,Industry support
298,2018,2018_878,Industry support
