,Year_0,row_id,conf2can_0
1281,2018,2018_946,RSE Conference
1282,2018,2018_946,SSI collaborations workshop
1284,2018,2018_946,New Zealand Science Coding Conference
1285,2018,2018_946,PyCon UK
1286,2018,2018_946,EUDAT annual conference
1287,2018,2018_946,Small domain workshops
1288,2018,2018_947,EGU
1289,2018,2018_948,IEEE IUS
1290,2018,2018_949,DHd und andere
1295,2018,2018_954,General Assembly of the Europeean Geoscience Union (EGU); viele andere
1297,2018,2018_956,EAGE
1298,2018,2018_956,SEG
1299,2018,2018_956,EMIW
1300,2018,2018_956,DGG
1301,2018,2018_956,EMTF
1307,2018,2018_962,Digital Humanities im deutschsprachigen Raum (DHd)
1308,2018,2018_962,Digital Humanities (DH)
1309,2018,2018_962,Electronic Media and Visual Arts (EVA)
1310,2018,2018_962,Japanese Digital Humanities Conference (JADH)
1311,2018,2018_962,Text Encoding Initiative Conference (TEI)
1317,2018,2018_968,AMOS
1321,2018,2018_971,Queenstown Research Week / Bioinformatics Satellite
1325,2018,2018_975,URSI
1333,2018,2018_983,Congress of the European Association for Behavioural and Cognitive Therapies
1334,2018,2018_984,Driving Simulation Conference (DSC)
1336,2018,2018_985,ASME conferences
1337,2018,2018_985,NVIDIA conference
1338,2018,2018_985,European Fluid Mechanics Conferences
1339,2018,2018_986,Many.
1340,2018,2018_987,ISMB
1342,2018,2018_987,ECCB
1347,2018,2018_991,ISBI
1348,2018,2018_991,MICCAI
1349,2018,2018_991,BioMedBridges
1351,2018,2018_991,SURF Cloud Events
1352,2018,2018_991,DTL Programmers Meeting
