,Year_0,row_id,currentEmp13
489,2018,2018_228,Classics & Ancient History
490,2018,2018_230,Classics & Ancient History
491,2018,2018_235,Classics & Ancient History
492,2018,2018_240,Classics & Ancient History
493,2018,2018_243,Classics & Ancient History
494,2018,2018_252,Classics & Ancient History
495,2018,2018_265,Classics & Ancient History
496,2018,2018_275,Classics & Ancient History
497,2018,2018_443,Classics & Ancient History
498,2018,2018_450,Classics & Ancient History
499,2018,2018_456,Classics & Ancient History
500,2018,2018_458,Classics & Ancient History
501,2018,2018_614,Classics & Ancient History
502,2018,2018_652,Classics & Ancient History
503,2018,2018_855,Classics & Ancient History
504,2018,2018_916,Classics & Ancient History
505,2018,2018_922,Classics & Ancient History
506,2018,2018_953,Classics & Ancient History
507,2018,2018_962,Classics & Ancient History
508,2018,2018_20,Communication & Media Studies
509,2018,2018_134,Communication & Media Studies
510,2018,2018_156,Communication & Media Studies
511,2018,2018_235,Communication & Media Studies
512,2018,2018_252,Communication & Media Studies
513,2018,2018_320,Communication & Media Studies
514,2018,2018_377,Communication & Media Studies
515,2018,2018_379,Communication & Media Studies
516,2018,2018_407,Communication & Media Studies
517,2018,2018_532,Communication & Media Studies
518,2018,2018_535,Communication & Media Studies
519,2018,2018_541,Communication & Media Studies
520,2018,2018_542,Communication & Media Studies
521,2018,2018_594,Communication & Media Studies
522,2018,2018_607,Communication & Media Studies
523,2018,2018_609,Communication & Media Studies
524,2018,2018_613,Communication & Media Studies
525,2018,2018_616,Communication & Media Studies
526,2018,2018_652,Communication & Media Studies
527,2018,2018_765,Communication & Media Studies
528,2018,2018_831,Communication & Media Studies
529,2018,2018_884,Communication & Media Studies
530,2018,2018_887,Communication & Media Studies
531,2018,2018_916,Communication & Media Studies
532,2018,2018_936,Communication & Media Studies
533,2018,2018_243,Complementary Medicine
534,2018,2018_252,Complementary Medicine
535,2018,2018_819,Complementary Medicine
536,2018,2018_916,Complementary Medicine
537,2018,2018_918,Complementary Medicine
538,2018,2018_0,Computer Science
539,2018,2018_1,Computer Science
540,2018,2018_2,Computer Science
541,2018,2018_14,Computer Science
542,2018,2018_20,Computer Science
543,2018,2018_28,Computer Science
544,2018,2018_37,Computer Science
545,2018,2018_58,Computer Science
546,2018,2018_62,Computer Science
547,2018,2018_67,Computer Science
548,2018,2018_70,Computer Science
549,2018,2018_77,Computer Science
550,2018,2018_85,Computer Science
551,2018,2018_99,Computer Science
552,2018,2018_100,Computer Science
553,2018,2018_119,Computer Science
554,2018,2018_125,Computer Science
555,2018,2018_126,Computer Science
556,2018,2018_128,Computer Science
557,2018,2018_131,Computer Science
558,2018,2018_132,Computer Science
559,2018,2018_137,Computer Science
560,2018,2018_141,Computer Science
561,2018,2018_143,Computer Science
562,2018,2018_144,Computer Science
563,2018,2018_147,Computer Science
564,2018,2018_148,Computer Science
565,2018,2018_149,Computer Science
566,2018,2018_152,Computer Science
567,2018,2018_154,Computer Science
568,2018,2018_156,Computer Science
569,2018,2018_158,Computer Science
570,2018,2018_161,Computer Science
571,2018,2018_166,Computer Science
572,2018,2018_174,Computer Science
573,2018,2018_175,Computer Science
574,2018,2018_177,Computer Science
575,2018,2018_179,Computer Science
576,2018,2018_180,Computer Science
577,2018,2018_184,Computer Science
578,2018,2018_185,Computer Science
579,2018,2018_188,Computer Science
580,2018,2018_193,Computer Science
581,2018,2018_196,Computer Science
582,2018,2018_198,Computer Science
583,2018,2018_199,Computer Science
584,2018,2018_200,Computer Science
585,2018,2018_202,Computer Science
586,2018,2018_206,Computer Science
587,2018,2018_207,Computer Science
588,2018,2018_210,Computer Science
589,2018,2018_211,Computer Science
590,2018,2018_212,Computer Science
591,2018,2018_217,Computer Science
592,2018,2018_218,Computer Science
593,2018,2018_223,Computer Science
594,2018,2018_226,Computer Science
595,2018,2018_227,Computer Science
596,2018,2018_229,Computer Science
597,2018,2018_237,Computer Science
598,2018,2018_238,Computer Science
599,2018,2018_240,Computer Science
600,2018,2018_243,Computer Science
601,2018,2018_244,Computer Science
602,2018,2018_245,Computer Science
603,2018,2018_246,Computer Science
604,2018,2018_249,Computer Science
605,2018,2018_252,Computer Science
606,2018,2018_254,Computer Science
607,2018,2018_258,Computer Science
608,2018,2018_259,Computer Science
609,2018,2018_260,Computer Science
610,2018,2018_262,Computer Science
611,2018,2018_266,Computer Science
612,2018,2018_269,Computer Science
613,2018,2018_270,Computer Science
614,2018,2018_275,Computer Science
615,2018,2018_278,Computer Science
616,2018,2018_282,Computer Science
617,2018,2018_285,Computer Science
618,2018,2018_287,Computer Science
619,2018,2018_291,Computer Science
620,2018,2018_293,Computer Science
621,2018,2018_295,Computer Science
622,2018,2018_297,Computer Science
623,2018,2018_303,Computer Science
624,2018,2018_312,Computer Science
625,2018,2018_315,Computer Science
626,2018,2018_316,Computer Science
627,2018,2018_320,Computer Science
628,2018,2018_321,Computer Science
629,2018,2018_322,Computer Science
630,2018,2018_323,Computer Science
631,2018,2018_324,Computer Science
632,2018,2018_325,Computer Science
633,2018,2018_327,Computer Science
634,2018,2018_328,Computer Science
635,2018,2018_329,Computer Science
636,2018,2018_333,Computer Science
637,2018,2018_334,Computer Science
638,2018,2018_336,Computer Science
639,2018,2018_337,Computer Science
640,2018,2018_339,Computer Science
641,2018,2018_344,Computer Science
642,2018,2018_346,Computer Science
643,2018,2018_348,Computer Science
644,2018,2018_349,Computer Science
645,2018,2018_352,Computer Science
646,2018,2018_361,Computer Science
647,2018,2018_362,Computer Science
648,2018,2018_367,Computer Science
649,2018,2018_379,Computer Science
650,2018,2018_384,Computer Science
651,2018,2018_385,Computer Science
652,2018,2018_390,Computer Science
653,2018,2018_391,Computer Science
654,2018,2018_393,Computer Science
655,2018,2018_397,Computer Science
656,2018,2018_398,Computer Science
657,2018,2018_401,Computer Science
658,2018,2018_403,Computer Science
659,2018,2018_405,Computer Science
660,2018,2018_406,Computer Science
661,2018,2018_407,Computer Science
662,2018,2018_410,Computer Science
663,2018,2018_414,Computer Science
