,Year_0,row_id,train3_0
998,2022,2022_820,university master courses plus courses organised by scientific associations
999,2022,2022_821,institute wide lectures on projects that we are involved in
1000,2022,2022_821,architecture team events
1014,2022,2022_834,carpentries
1015,2022,2022_835,carpentries
1022,2022,2022_841,python
1026,2022,2022_845,machine learning
1027,2022,2022_846,carpentries
1030,2022,2022_849,carpentries
1033,2022,2022_852,carpentries
1049,2022,2022_868,local training
1050,2022,2022_868,invited teacher summer schools 
1055,2022,2022_873,local training
1056,2022,2022_873,hifis
1059,2022,2022_876,programmierkurse im haus
1062,2022,2022_879,program developed by own software project
1063,2022,2022_880,lehrgang an universitäten
1066,2022,2022_883,uni kurse
1073,2022,2022_890,lehrgänge an universität
1088,2022,2022_905,lehrgang an universitäten
1093,2022,2022_909,local university
1095,2022,2022_911,local university
1097,2022,2022_911,global institutions
1098,2022,2022_911,elixir
1101,2022,2022_914,operations of our software systems.
1104,2022,2022_916,research data science courses
1110,2022,2022_922,carpentries
1113,2022,2022_925,coderefinery
1114,2022,2022_925,local university
1116,2022,2022_927,local training
1117,2022,2022_928,coderefinery
1118,2022,2022_928,carpentries
1119,2022,2022_929,coderefinery
1120,2022,2022_929,local university
1121,2022,2022_930,helmholtz gpu hackathon
1123,2022,2022_932,local training
1124,2022,2022_932,project hackathons
1126,2022,2022_933,gpu programming
1127,2022,2022_933,profiling tools
1133,2022,2022_939,local trainig
1135,2022,2022_939,hackathons
1140,2022,2022_944,carpentries
1141,2022,2022_944,local university
1145,2022,2022_946,einzelne vorträge in lehrveranstaltungen
1148,2022,2022_948,carpentries
1150,2022,2022_950,hackathon
1152,2022,2022_952,typically provide ad hoc training
1153,2022,2022_952,carpentries
1157,2022,2022_956,local research unit training
1162,2022,2022_961,übung/tutorial zu masterkurs an universität
1163,2022,2022_961,workshop zur selbst entwickelten software
1165,2022,2022_963,coderefinery
1169,2022,2022_967,lab group training
1176,2022,2022_974,new system briefing
1177,2022,2022_974,ecp annual meeting tutorials
1183,2022,2022_980,local courses
1186,2022,2022_983,carpentries
1187,2022,2022_983,carpentries
1192,2022,2022_987,local university
1196,2022,2022_989,conference tutorials
1197,2022,2022_989,writing training materials
1198,2022,2022_989,conference tutorials
1199,2022,2022_989,direct mentoring
1205,2022,2022_995,carpentries
1206,2022,2022_995,local university
1208,2022,2022_997,ad hoc training
1211,2022,2022_1000,carpentries
1214,2022,2022_1003,project workshops
1219,2022,2022_1008,local university
1224,2022,2022_1013,user training at nersc
1225,2022,2022_1013,exascale computing project training events
1236,2022,2022_1024,carpentries
1237,2022,2022_1025,carpentries
1238,2022,2022_1025,local group/institute training
1241,2022,2022_1027,programmierpraktika für studenten
1243,2022,2022_1029,"local lectures,global"
1244,2022,2022_1029,embo courses
1245,2022,2022_1029,neubias
1247,2022,2022_1030,online
1248,2022,2022_1031,university teaching
1249,2022,2022_1032,workshops
1258,2022,2022_1041,software engineering workshops
1266,2022,2022_1049,carpentries
1267,2022,2022_1049,resbaz
1272,2022,2022_1054,carpentries
1273,2022,2022_1054,local institution
1274,2022,2022_1054,state based consortium
1276,2022,2022_1055,local institution training
1277,2022,2022_1055,university training
1282,2022,2022_1060,carpentries
